"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"418969","2019-09-23 14:00:00","NS/NC","4","Femenino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NS/NC","1","Femenino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NS/NC","36","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NS/NC","36","Femenino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NS/NC","7","Femenino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-24 09:00:00","NO","6","Masculino","Argentina","NS/NC","Física","Padre"
"418969","2019-09-24 09:00:00","NO","1","Masculino","Argentina","NS/NC","Física","Padre"
"418341","2019-09-24 08:30:00","NO","51","Femenino","Uruguaya","NO","Física","Otro no conviviente"
"418341","2019-09-24 08:30:00","NS/NC","18","Femenino","Argentina","NO","Física","Padre"
"418969","2019-09-24 09:00:00","NO","4","Femenino","Argentina","NS/NC","Física","Padre"
"418969","2019-09-24 09:00:00","NO","1","Femenino","Argentina","NO","Física","Padre"
"418969","2019-09-24 09:00:00","NO","7","Femenino","Argentina","NO","Física","Padre"
"418969","2019-09-24 09:00:00","NO","Sin dato","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"418998","2019-09-25 08:30:00","NO","7","Masculino","Argentina","NO","Física y Sexual","Padre"
"419000","2019-09-25 01:30:00","NO","6","Femenino","Argentina","NS/NC","Física","Abuel@"
"419000","2019-09-25 01:30:00","NS/NC","16","Femenino","Argentina","NO","Física","Padre"
"419002","2019-09-25 04:30:00","NO","13","Femenino","Argentina","NO","Física","Padre"
"419000","2019-09-25 01:30:00","NO","56","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418998","2019-09-25 08:30:00","NO","11","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"419002","2019-09-25 04:30:00","NO","32","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418998","2019-09-25 08:30:00","NO","13","Femenino","Argentina","NO","Física","Padre"
"418998","2019-09-25 08:30:00","NO","11","Femenino","Argentina","NO","Física","Padre"
"418998","2019-09-26 08:30:00","NO","7","Masculino","Argentina","NS/NC","Física","Padre"
"418998","2019-09-26 08:30:00","NO","11","Femenino","Argentina","NO","Física","Padre"
"418998","2019-09-26 08:30:00","NO","11","Femenino","Argentina","NS/NC","Física","Padre"
"233079","2019-09-27 04:00:00","NS/NC","18","Femenino","Argentina","SI","Sexual","Otro no conviviente"
"419027","2019-09-27 17:30:00","NO","21","Femenino","Argentina","SI","Psicológica","Madre"
"419098","2019-09-28 23:45:00","NO","26","Femenino","Peruana","NO","Física","Espos@/compañer@ actual"
"419103","2019-09-29 08:00:00","NO","48","Femenino","Boliviana","NS/NC","Física","Espos@/compañer@ actual"
"419103","2019-09-30 09:30:00","NO","13","Masculino","Boliviana","NS/NC","Psicológica","Padre"
"419103","2019-09-30 09:30:00","NS/NC","17","Masculino","Boliviana","NS/NC","Psicológica","Padre"
"419134","2019-09-30 20:30:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"419116","2019-09-30 00:00:00","NO","5","Masculino","Argentina","NO","Psicológica","Padre"
"419116","2019-09-30 00:00:00","NO","10","Femenino","Argentina","NO","Física","Padre"
"419134","2019-09-30 20:30:00","NS/NC","35","Femenino","Boliviana","NO","Psicológica","Otro conviviente"
"419134","2019-09-30 20:30:00","NO","5","Femenino","Argentina","NO","Física","Padre"
"419134","2019-09-30 20:30:00","NO","15","Femenino","Argentina","NO","Física y Sexual","Padre"
"419116","2019-09-30 00:00:00","NS/NC","34","Femenino","Paraguaya","NO","Física","Espos@/compañer@ actual"
"419103","2019-09-30 09:30:00","NO","Sin dato","Femenino","Boliviana","NS/NC","Física y Sexual","Espos@/compañer@ actual"
"419134","2019-09-30 20:30:00","NO","37","Femenino","Boliviana","NO","Física","Espos@/compañer@ actual"
